,Birthdate,Description,Image,Name
0,1965-03-14,Aamir is no doubt one of the most dedicated actors in this world. With his recent success in India and China markets combined he has got the title of World\u0027s Biggest Superstar. He went through rapid transformations in his body structure for his films to bring out the reality factor in his characters. This is also one of the reasons why his films ...,https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_.jpg,Aamir Khan
1,1967-09-09,"Akshay Kumar, born September 9, 1967, is an actor. He studied martial arts in Hong Kong. It was a student that suggested that he try modeling. Because of his success as model, he was offered films. Along with his good looks and excellent martial art skills, he was always the first choice to do adventurous movies. He does his own stunts in his ...",https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_.jpg,Akshay Kumar
2,1969-04-02,"Ajay Devgn is an Indian film actor, director, and producer. He made his film debut with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance in the film. He then starred in films such as Jigar (1992), Dilwale (1994), Suhaag (1994), Naajayaz (1995), Diljale (1996) and Ishq (1997). In 1999, Devgn received his...",https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_.jpg,Ajay Devgn
3,1940-11-12,"Amjad Khan was born on November 12, 1940 in Hyderabad, Hyderabad State, British India. He was an actor and director, known for Sholay (1975), Yaarana (1981) and Maa Kasam (1985). He was married to Shaila Khan. He died on July 27, 1992 in Bombay, Maharashtra, India.",https://m.media-amazon.com/images/M/MV5BOWUzNjU3YTUtOGIyMi00MDk3LTk1NDMtMzY4MDZlNDFhNTFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg,Amjad Khan
4,1942-10-11,"Son of well known poet Harivansh Rai Bachchan and Teji Bachchan. He has a brother named Ajitabh. He completed his education from Uttar Pradesh and moved to Bombay to find work as a film star, in vain though, as film-makers preferred someone with a fairer skin, and he was not quite fair enough. But they did use one of his other assets, his deep ...",https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_.jpg,Amitabh Bachchan
5,1944-11-24,"Amol Palekar was born on November 24, 1944 in Bombay, Bombay Presidency, British India. He is an actor and director, known for Kairee (1999), Bangarwadi (1995) and Gol Maal (1979).",https://m.media-amazon.com/images/M/MV5BNzZhNDQ1YzItNTVlOC00MmVmLTkzMjEtMDFmN2Q0MDU2YmQ3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg,Amol Palekar
6,1976-03-15,"Abhay Deol (born in 1976, India) is an Indian film actor. He is the nephew of famous veteran actor Dharmendra and cousin of actors Sunny Deol and Bobby Deol and actress Esha Deol. After graduating from Mumbai University, Abhay headed to Los Angeles and studied Fine Arts. After completing a two year acting course, Abhay answered to his Bollywood ...",https://m.media-amazon.com/images/M/MV5BMTU2NzkzODA3OV5BMl5BanBnXkFtZTcwMzk2MDMyOA@@._V1_.jpg,Abhay Deol
7,1975-03-28,"Akshaye Khanna was born in Mumbai in 1975. He is the middle son of Bollywood actor and politician Vinod Khanna, and the younger brother of actor Rahul Khanna. After studying in Kishore Namit Kapoor Acting Institute in Mumbai, Khanna made his acting debut in Bollywood in 1997 with the movie Himalay Putra, which went without much success at box ...",https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_.jpg,Akshaye Khanna
8,1968-04-19,"Arshad Warsi was born in Mumbai, India, and did his schooling at a boarding school, Barnes School, Deolali in Nashik district, Maharashtra. He was orphaned at the age of 14 and struggled for a living in Mumbai during his early days. Financial circumstances forced Warsi to start work as a door-to-door cosmetics salesman at age 17. Later he worked in...",https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg,Arshad Warsi
9,1981-11-07,Anushka Shetty is an Indian Film Actress. She was also a Yoga Instructor and has trained under yoga guru Bharat Thakur. This tall and gorgeous beauty debuted in the 2005 Telugu film Super starring Nagarjuna which was super hit at box office. Later her performance in Vikramarkudu make her noticeable. But in Arundhati in which she had played the role...,https://m.media-amazon.com/images/M/MV5BZTkxYmU1NmUtNGE4Ni00OWNmLWE5YzktNTJiZTlmMTIyMTM5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg,Anushka Shetty
10,1965-09-10,"Atul Kulkarni was born on September 10, 1965 in Karnataka, India. He is an actor, known for Rang De Basanti (2006), Hey Ram (2000) and Page 3 (2005).",https://m.media-amazon.com/images/M/MV5BY2E1ODI1MGUtYWY1ZS00ZDdlLTg0ZDctNWU1NmJhM2UxYzU5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Atul Kulkarni
11,1941-01-01,Asrani was born in a middle class Sindhi family. His father migrated to Jaipur after the Partition of India and opened a shop selling carpets. He has four sisters and three brothers: two elder and one younger. Asrani was highly uninterested in business and very weak in mathematics. He completed his matriculation from St. Xaviers School and did his...,https://m.media-amazon.com/images/M/MV5BMjEyNDQ4MzUzNF5BMl5BanBnXkFtZTgwNjY3OTczOTE@._V1_.jpg,Asrani
12,1984-09-14,"Ayushmann Khurrana was born on 14 September 1984 in Chandigarh, India. Ayushmann started off his career as a popular radio jockey, and eventually became a VJ on MTV India and one of the most popular hosts in India. He shot to stardom with the runaway hit, \u0027Vicky Donor\u0027 in 2012. His effortless act in his debut won him rave reviews and the film went...",https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_.jpg,Ayushmann Khurrana
13,1946-08-18,"Aruna Irani made her debut in the movie Gunga Jumna (1961) at nine years old playing Azra\u0027s character. After doing several small roles in films like Jahanara (1964), Farz (1967), Upkar (1967) and Aaya Sawan Jhoomke (1969). She was paired with comedian Mehmood Ali in films like Aulad (1968), Jawab, Humjoli (1970), Manmandir and Naya Zamana (1971)....",https://m.media-amazon.com/images/M/MV5BYWIzYjZkZTAtNDM0MS00YjBiLWJlMjItZDY1YTJhNjMxNTExXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,Aruna Irani
14,1956-02-20,"Annu Kapoor made his debut in the film Mandi directed by Shyam Benegal in 1983.His career has spanned nearly 30 years including a distinctive presence in Bollywood cinema, television serials, and reality game shows. He is best remembered for hosting the singing show Antakshari, produced by ZEE TV. His performance as an obsessive-compulsive Sperm ...",https://m.media-amazon.com/images/M/MV5BMjE4MjAxODk1NV5BMl5BanBnXkFtZTcwODQ0MjY2Nw@@._V1_.jpg,Annu Kapoor
15,1962-06-19,"Ashish Vidyarthi was born on June 19, 1962 in Tellicherry, Kerala, India. He is an actor, known for 24 (2013), Haider (2014) and Pokiri (2006).",https://m.media-amazon.com/images/M/MV5BMzk5Mzc5Y2YtYjJjYy00OGIyLTg4MzctZTMxNDBiYzY2MTcxXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_.jpg,Ashish Vidyarthi
